2020-08-15 00:46:59,280 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 328 88 -328
2020-08-15 13:07:12,621 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 696 67 -88
2020-08-15 13:07:14,854 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 808 65 -104
2020-08-15 13:07:17,689 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! SCARCE chest at coords: 888 74 -104
2020-08-15 13:14:18,121 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 632 63 -168
2020-08-15 13:14:39,753 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 728 65 -216
2020-08-15 13:14:57,090 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 808 68 -264
2020-08-15 13:15:09,002 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! SCARCE chest at coords: 696 81 -296
2020-08-15 13:15:11,145 [Server thread] INFO Treasure2 | WellGenerator.java:122 | CHEATER! Wishing Well at coords: 822 70 -330
2020-08-15 13:15:11,899 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 872 64 -328
2020-08-15 13:15:14,404 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! RARE chest at coords: 712 70 -392
2020-08-15 13:16:26,352 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 728 77 -488
2020-08-15 13:17:39,433 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 648 80 -488
2020-08-15 13:17:45,843 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 920 63 -504
2020-08-15 13:23:29,838 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 504 72 -216
2020-08-15 13:23:40,906 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! RARE chest at coords: 472 77 -296
2020-08-15 13:23:48,899 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 600 73 -264
2020-08-15 13:23:55,661 [Server thread] INFO Treasure2 | WellGenerator.java:122 | CHEATER! Wishing Well at coords: 598 65 -298
2020-08-15 13:24:10,815 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 584 66 -344
2020-08-15 13:25:14,072 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 920 75 -200
2020-08-15 13:26:36,286 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! SCARCE chest at coords: 984 63 -264
2020-08-15 13:34:51,207 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 1016 67 -472
2020-08-17 01:24:56,190 [Server thread] INFO Treasure2 | SubmergedChestWorldGenerator.java:287 | CHEATER! SCARCE chest at coords: 984 38 -616
2020-08-17 01:24:57,803 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 1080 64 -360
2020-08-17 01:25:01,756 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! SCARCE chest at coords: 1144 64 -424
2020-08-17 01:25:39,005 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! UNCOMMON chest at coords: 1160 66 -280
2020-08-17 01:25:39,504 [Server thread] INFO Treasure2 | WellGenerator.java:122 | CHEATER! Wishing Well at coords: 1176 66 -472
2020-08-17 01:25:40,205 [Server thread] INFO Treasure2 | WitherTreeWorldGenerator.java:370 | CHEATER! wither chest at coords: 1064 68 -280
2020-08-17 01:25:51,041 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! COMMON chest at coords: 1240 79 -472
2020-08-17 01:26:02,670 [Server thread] INFO Treasure2 | SurfaceChestWorldGenerator.java:376 | CHEATER! SCARCE chest at coords: 1144 71 -200
